Part Number,Type,Diameter,Length,Material,Finish
1171055,Split Lock Washer,#6,-,Stainless Steel,Plain
1173413,Socket Cap Screw,#6-32,"1/4""",Stainless Steel,Plain
1173714,Button Socket Cap Screw,#6-32,"1/4""",Stainless Steel,Plain
73844,Flat Socket Cap Screw,#6-32,"1/4""",Stainless Steel,Plain
1171005,General Purpose Flat Washer,#6,-,Stainless Steel,Plain
73508,Socket Cap Screw,#6-32,"5/16""",Stainless Steel,Plain
73716,Button Socket Cap Screw,#6-32,"1/2""",Stainless Steel,Plain
1171006,General Purpose Flat Washer,#6,-,Stainless Steel,Plain
1173414,Socket Cap Screw,#6-32,"3/8""",Stainless Steel,Plain
1173715,Button Socket Cap Screw,#6-32,"3/8""",Stainless Steel,Plain
73846,Flat Socket Cap Screw,#6-32,"1/2""",Stainless Steel,Plain
1170705,Machine Screw Nut,#6-32,-,Stainless Steel,Plain
1173415,Socket Cap Screw,#6-32,"1/2""",Stainless Steel,Plain
73926,Flat Socket Cap Screw,#6-32,"5/8""",Stainless Steel,Plain
170527,Machine Screw,#6-32,"3/16""",Stainless Steel,Plain
1173509,Socket Cap Screw,#6-32,"5/8""",Stainless Steel,Plain
173812,Machine Screw,#6-32,"1/4""",Stainless Steel,Plain
1173416,Socket Cap Screw,#6-32,"3/4""",Stainless Steel,Plain
73719,Button Socket Cap Screw,#6-32,"1""",Stainless Steel,Plain
170529,Machine Screw,#6-32,"3/8""",Stainless Steel,Plain
1173418,Socket Cap Screw,#6-32,"1""",Stainless Steel,Plain
73511,Socket Cap Screw,#6-32,"1-3/4""",Stainless Steel,Plain
ML6330000A20000,Split Lock Washer,M3,-,Stainless Steel,Plain
MW6330000A20000,General Purpose Flat Washer,M3,-,Stainless Steel,Plain
M42510006A20000,Flat Socket Cap Screw,M3-0.5,6mm,Stainless Steel,Plain
MS2490008A20000,Socket Cap Screw,M2.5-0.45,8mm,Stainless Steel,Plain
MN2510000A20000,Hex Nut,M3-0.5,-,Stainless Steel,Plain
MB2510006A20000,Button Socket Cap Screw,M3-0.5,6mm,Stainless Steel,Plain
M42510012A20000,Flat Socket Cap Screw,M3-0.5,12mm,Stainless Steel,Plain
MS2490010A20000,Socket Cap Screw,M2.5-0.45,10mm,Stainless Steel,Plain
MS2510006A20000,Socket Cap Screw,M3-0.5,6mm,Stainless Steel,Plain
MB2510012A20000,Button Socket Cap Screw,M3-0.5,12mm,Stainless Steel,Plain
MS2490016A20000,Socket Cap Screw,M2.5-0.45,16mm,Stainless Steel,Plain
MS2510008A20000,Socket Cap Screw,M3-0.5,8mm,Stainless Steel,Plain
MB2510020A20000,Button Socket Cap Screw,M3-0.5,20mm,Stainless Steel,Plain
MS2510012A20000,Socket Cap Screw,M3-0.5,12mm,Stainless Steel,Plain
M82510012A20000,Hex Cap Screw,M3-0.5,12mm,Stainless Steel,Plain
MS2510020A20000,Socket Cap Screw,M3-0.5,20mm,Stainless Steel,Plain
40050,Dowel Pin,M5,10mm,Steel,Plain
90463,Dowel Pin,M3,6mm,Steel,Plain
40044,Dowel Pin,M4,10mm,Steel,Plain
40057,Dowel Pin,M6,14mm,Steel,Plain
199956,Dowel Pin,M10,20mm,Steel,Plain
40059,Dowel Pin,M6,20mm,Steel,Plain
MD6400020A20000,Dowel Pin,M10,20mm,Stainless Steel,Plain
MB2530008A20000,Button Socket Cap Screw,M4-0.7,8mm,Stainless Steel,Plain
MB2550008A20000,Button Socket Cap Screw,M6-1.0,8mm,Stainless Steel,Plain
MB2580012A20000,Button Socket Cap Screw,M8-1.25,12mm,Stainless Steel,Plain
MB2580020A20000,Button Socket Cap Screw,M8-1.25,20mm,Stainless Steel,Plain
MB2550012A20000,Button Socket Cap Screw,M6-1.0,12mm,Stainless Steel,Plain
MB2540008A20000,Button Socket Cap Screw,M5-0.8,8mm,Stainless Steel,Plain
MB2530012A20000,Button Socket Cap Screw,M4-0.7,12mm,Stainless Steel,Plain
MB2530016A20000,Button Socket Cap Screw,M4-0.7,16mm,Stainless Steel,Plain
MB2540012A20000,Button Socket Cap Screw,M5-0.8,12mm,Stainless Steel,Plain
